授,授,授,1,AAA
掌,掌,掌,1,AAA
排,排,排,1,AAA
掘,掘,掘,1,AAA
掛,掛,挂,2,AAB
採,採,采,2,AAB
探,探,探,1,AAA
接,接,接,1,AAA
控,控,控,1,AAA
推,推,推,1,AAA
措,措,措,1,AAA
掲,揭,揭,4,ABB
描,描,描,1,AAA
提,提,提,1,AAA
揚,揚,扬,2,AAB
換,換,换,2,AAB
握,握,握,1,AAA
揮,揮,挥,2,AAB
援,援,援,1,AAA
揺,搖,摇,5,ABC
損,損,损,2,AAB
搬,搬,搬,1,AAA
搭,搭,搭,1,AAA
携,攜,携,3,ABA
搾,搾,榨,2,AAB
摂,攝,摄,5,ABC
摘,摘,摘,1,AAA
摩,摩,摩,1,AAA
撃,擊,击,5,ABC
撤,撤,撤,1,AAA
撮,撮,撮,1,AAA
撲,撲,扑,2,AAB
擁,擁,拥,2,AAB
操,操,操,1,AAA
擦,擦,擦,1,AAA
擬,擬,拟,2,AAB
支,支,支,1,AAA
改,改,改,1,AAA
攻,攻,攻,1,AAA
放,放,放,1,AAA
政,政,政,1,AAA
故,故,故,1,AAA
敏,敏,敏,1,AAA
救,救,救,1,AAA
敗,敗,败,2,AAB
教,教,教,1,AAA
敢,敢,敢,1,AAA
散,散,散,1,AAA
敬,敬,敬,1,AAA
数,數,数,3,ABA
整,整,整,1,AAA
敵,敵,敌,2,AAB
敷,敷,敷,1,AAA
文,文,文,1,AAA
斉,齊,齐,5,ABC
斎,齋,斋,5,ABC
斗,斗,斗,1,AAA
料,料,料,1,AAA
斜,斜,斜,1,AAA
斤,斤,斤,1,AAA
斥,斥,斥,1,AAA
断,斷,断,3,ABA
新,新,新,1,AAA
方,方,方,1,AAA
施,施,施,1,AAA
旅,旅,旅,1,AAA
旋,旋,旋,1,AAA
族,族,族,1,AAA
旗,旗,旗,1,AAA
既,既,既,1,AAA
日,日,日,1,AAA
旧,舊,旧,3,ABA
旨,旨,旨,1,AAA
早,早,早,1,AAA
旬,旬,旬,1,AAA
昆,昆,昆,1,AAA
昇,昇,升,2,AAB
明,明,明,1,AAA
易,易,易,1,AAA
昔,昔,昔,1,AAA
星,星,星,1,AAA
映,映,映,1,AAA
春,春,春,1,AAA
昨,昨,昨,1,AAA
昭,昭,昭,1,AAA
是,是,是,1,AAA
昼,晝,昼,3,ABA
時,時,时,2,AAB
晩,晩,晩,1,AAA
普,普,普,1,AAA
景,景,景,1,AAA
晴,晴,晴,1,AAA
晶,晶,晶,1,AAA
暁,曉,晓,5,ABC
暇,暇,暇,1,AAA
暑,暑,暑,1,AAA
暖,暖,暖,1,AAA
暗,暗,暗,1,AAA
暦,曆,历,5,ABC
暫,暫,暂,2,AAB
暮,暮,暮,1,AAA
暴,暴,暴,1,AAA
曇,曇,昙,2,AAB
曜,曜,曜,1,AAA
曲,曲,曲,1,AAA
更,更,更,1,AAA
書,書,书,2,AAB
曹,曹,曹,1,AAA
替,替,替,1,AAA
最,最,最,1,AAA
月,月,月,1,AAA
有,有,有,1,AAA
服,服,服,1,AAA
朕,朕,朕,1,AAA
朗,朗,朗,1,AAA
望,望,望,1,AAA
朝,朝,朝,1,AAA
期,期,期,1,AAA
木,木,木,1,AAA
未,未,未,1,AAA
末,末,末,1,AAA
本,本,本,1,AAA
札,札,札,1,AAA
朱,朱,朱,1,AAA
朴,朴,朴,1,AAA
机,機,机,3,ABA
朽,朽,朽,1,AAA
杉,杉,杉,1,AAA
材,材,材,1,AAA
村,村,村,1,AAA
束,束,束,1,AAA
条,條,条,3,ABA
来,來,来,3,ABA
杯,杯,杯,1,AAA
東,東,东,2,AAB
松,松,松,1,AAA
板,板,板,1,AAA
析,析,析,1,AAA
林,林,林,1,AAA
枚,枚,枚,1,AAA
果,果,果,1,AAA
枝,枝,枝,1,AAA
枠,,,0,ANN
枢,樞,枢,3,ABA
枯,枯,枯,1,AAA
架,架,架,1,AAA
柄,柄,柄,1,AAA
某,某,某,1,AAA
染,染,染,1,AAA
柔,柔,柔,1,AAA
柱,柱,柱,1,AAA
柳,柳,柳,1,AAA
査,査,査,1,AAA
栄,榮,荣,5,ABC
栓,栓,栓,1,AAA
校,校,校,1,AAA
株,株,株,1,AAA
核,核,核,1,AAA
根,根,根,1,AAA
格,格,格,1,AAA
栽,栽,栽,1,AAA
桃,桃,桃,1,AAA
案,案,案,1,AAA
桑,桑,桑,1,AAA
桜,櫻,樱,5,ABC
